SK_ID_CURR,actual_default,raw_lgbm_score,calibrated_pd,calibrated_risk_band,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_CONTRACT_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,bureau_loans_count,bureau_credit_sum,bureau_credit_debt,bureau_overdue_sum,prev_apps_count,prev_refused_rate,prev_approved_rate,late_rate,avg_days_late,max_days_late,missed_payment_rate
317152,0,0.12969058593455526,0.016252365884327578,Low Risk,180000.0,1546020.0,40914.0,Cash loans,Secondary / secondary special,Married,House / apartment,Laborers,4.0,944185.5,0.0,0.0,4.0,0.25,0.75,0.024,19.333333333333332,33.0,0.04
283503,0,0.37683253400049843,0.0512557843563172,Medium Risk,135000.0,473760.0,53451.0,Cash loans,Secondary / secondary special,Married,House / apartment,Drivers,8.0,536620.5,70717.5,0.0,1.0,0.0,1.0,0.0,0.0,-2.0,0.0
423786,0,0.12947524749368486,0.01623586865727744,Low Risk,90000.0,269550.0,24853.5,Cash loans,Higher education,Single / not married,Co-op apartment,Laborers,2.0,225000.0,0.0,0.0,3.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
384173,0,0.4748493757002458,0.07955494238315351,Medium Risk,117000.0,691020.0,26905.5,Cash loans,Higher education,Married,House / apartment,Cooking staff,2.0,95175.0,0.0,0.0,6.0,0.16666666666666666,0.5,0.225,14.555555555555555,34.0,0.35
181767,0,0.5224737073329906,0.09796047906230901,Medium Risk,225000.0,263686.5,31423.5,Cash loans,Secondary / secondary special,Married,House / apartment,Drivers,2.0,106245.0,0.0,0.0,8.0,0.0,0.875,0.3025210084033613,5.25,15.0,0.20168067226890757
421714,0,0.2614159337502778,0.03013036942271626,Low Risk,210600.0,619965.0,20128.5,Cash loans,Secondary / secondary special,Married,House / apartment,0,12.0,2906301.87,706279.5,0.0,2.0,0.0,1.0,0.18181818181818182,5.5,6.0,0.18181818181818182
144778,0,0.4440858373906928,0.06940323862230988,Medium Risk,247500.0,270000.0,13914.0,Cash loans,Secondary / secondary special,Widow,House / apartment,Cleaning staff,5.0,1661526.0,1217866.5,0.0,11.0,0.36363636363636365,0.45454545454545453,0.017241379310344827,1.0,1.0,0.0
126190,0,0.29786521314056114,0.035678137718003225,Low Risk,126000.0,521280.0,28408.5,Cash loans,Higher education,Single / not married,House / apartment,0,2.0,290929.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153287,0,0.4773493790369037,0.08043700692587637,Medium Risk,135000.0,755190.0,36459.0,Cash loans,Secondary / secondary special,Married,House / apartment,Laborers,7.0,1758595.5,1108255.5,0.0,10.0,0.5,0.4,0.2198952879581152,8.071428571428571,33.0,0.31413612565445026
410121,0,0.24654895084192138,0.02811589018073232,Low Risk,225000.0,675000.0,32472.0,Cash loans,Secondary / secondary special,Married,House / apartment,Private service staff,9.0,2283705.0,1243399.77,0.0,5.0,0.0,1.0,0.14130434782608695,1.6153846153846154,4.0,0.06521739130434782
127514,0,0.2477181201772182,0.028269457489682688,Low Risk,49500.0,119925.0,11812.5,Cash loans,Secondary / secondary special,Married,House / apartment,0,6.0,959431.5,0.0,0.0,7.0,0.0,0.8571428571428571,0.02857142857142857,1.5,2.0,0.02857142857142857
342485,0,0.11934619228803504,0.015478209534750148,Low Risk,90000.0,568800.0,16429.5,Cash loans,Secondary / secondary special,Married,House / apartment,Waiters/barmen staff,9.0,601647.975,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-7.0,0.0
189919,0,0.29020087107387327,0.034435312457386125,Low Risk,108000.0,291384.0,19395.0,Cash loans,Higher education,Separated,House / apartment,0,1.0,225000.0,0.0,0.0,13.0,0.0,0.7692307692307693,0.05660377358490566,7.166666666666667,12.0,0.09433962264150944
377920,0,0.23308272010838876,0.026404538927929933,Low Risk,180000.0,1017544.5,40351.5,Cash loans,Higher education,Married,House / apartment,High skill tech staff,5.0,2247529.5,108598.5,0.0,7.0,0.14285714285714285,0.42857142857142855,0.025,3.25,6.0,0.0375
249019,0,0.3719271603087594,0.05012418894820767,Medium Risk,66150.0,158256.0,12424.5,Cash loans,Secondary / secondary special,Single / not married,House / apartment,0,0.0,0.0,0.0,0.0,3.0,0.3333333333333333,0.6666666666666666,0.0,0.0,-7.0,0.0
406911,0,0.2670064991223157,0.030923522674712992,Low Risk,135000.0,904500.0,38322.0,Cash loans,Secondary / secondary special,Married,House / apartment,0,3.0,338094.0,0.0,0.0,5.0,0.0,0.8,0.2857142857142857,2.25,5.0,0.2857142857142857
253144,0,0.5523603399144495,0.11137078013433356,High Risk,112500.0,808650.0,29839.5,Cash loans,Secondary / secondary special,Separated,House / apartment,Cooking staff,4.0,344097.045,0.0,0.0,3.0,0.3333333333333333,0.6666666666666666,0.0,0.0,-9.0,0.0
448406,0,0.19637893697588055,0.022238927215428018,Low Risk,225000.0,450000.0,30073.5,Cash loans,Higher education,Married,House / apartment,Managers,6.0,516251.33999999997,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
240417,0,0.44775020529391313,0.07054646630202298,Medium Risk,270000.0,1206000.0,31941.0,Cash loans,Secondary / secondary special,Married,House / apartment,Laborers,7.0,5359588.83,2296732.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265348,0,0.30427223646662005,0.03675012674306914,Low Risk,315000.0,765000.0,49018.5,Cash loans,Incomplete higher,Married,With parents,High skill tech staff,2.0,1613866.5,1354905.0,0.0,2.0,0.0,1.0,0.2631578947368421,3.8,9.0,0.3157894736842105
420691,0,0.1016046550486859,0.014234115314824112,Low Risk,135000.0,1647000.0,43578.0,Cash loans,Secondary / secondary special,Married,House / apartment,0,6.0,4828927.5,0.0,0.0,12.0,0.0,0.8333333333333334,0.03260869565217391,3.0,7.0,0.021739130434782608
449490,0,0.1548428072687421,0.018297049492677662,Low Risk,67500.0,266652.0,13761.0,Cash loans,Secondary / secondary special,Civil marriage,House / apartment,Security staff,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.038461538461538464,1.0,1.0,0.0
208491,0,0.6959103673720632,0.1996275710083761,High Risk,121500.0,269550.0,21294.0,Cash loans,Secondary / secondary special,Married,House / apartment,Core staff,4.0,390854.7,91552.5,0.0,1.0,0.0,1.0,0.0,0.0,-7.0,0.0
329639,0,0.12347041848763889,0.01578241063053289,Low Risk,112500.0,1546020.0,42642.0,Cash loans,Secondary / secondary special,Married,House / apartment,0,2.0,170392.95,0.0,0.0,2.0,0.0,1.0,0.0,0.0,-2.0,0.0
436053,0,0.4528028003961845,0.07215134921041674,Medium Risk,135000.0,1314117.0,37791.0,Cash loans,Secondary / secondary special,Single / not married,House / apartment,Laborers,3.0,381528.0,0.0,0.0,5.0,0.2,0.6,0.07,11.714285714285714,21.0,0.08
155172,0,0.35602862919463185,0.04661721925966016,Low Risk,72000.0,1024290.0,28165.5,Cash loans,Higher education,Married,Rented apartment,Core staff,4.0,593408.4750000001,0.0,0.0,2.0,0.0,1.0,0.49019607843137253,6.4,14.0,0.5882352941176471
272065,0,0.8107405536498076,0.30193136666214154,Very High Risk,90000.0,284400.0,22599.0,Cash loans,Secondary / secondary special,Married,With parents,Laborers,0.0,0.0,0.0,0.0,5.0,0.6,0.2,0.05555555555555555,8.0,8.0,0.1111111111111111
221899,0,0.15386129131981832,0.01821271982078588,Low Risk,90000.0,135000.0,10093.5,Cash loans,Secondary / secondary special,Widow,House / apartment,Sales staff,1.0,225000.0,71311.5,0.0,2.0,0.0,1.0,0.35,83.0,1030.0,0.15
263977,0,0.27874787945705193,0.032655633075457165,Low Risk,78750.0,916470.0,26928.0,Cash loans,Secondary / secondary special,Married,House / apartment,Core staff,3.0,451125.0,136044.0,0.0,8.0,0.5,0.375,0.047619047619047616,12.0,12.0,0.09523809523809523
408451,0,0.24796007530927872,0.02830133921291529,Low Risk,202500.0,312840.0,8964.0,Cash loans,Higher education,Married,House / apartment,0,12.0,6147048.6,1227693.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123333,0,0.3029478889226723,0.036526033472596864,Low Risk,157500.0,507469.5,29263.5,Cash loans,Higher education,Civil marriage,House / apartment,0,3.0,771030.0,386469.0,0.0,3.0,0.0,1.0,0.0,0.0,-6.0,0.0
203949,0,0.21245091231972163,0.023977478930668053,Low Risk,112500.0,610335.0,25785.0,Cash loans,Secondary / secondary special,Married,House / apartment,Sales staff,1.0,58230.0,0.0,0.0,2.0,0.0,0.5,0.0,0.0,-4.0,0.0
112457,0,0.42438280758402736,0.06354515325632222,Medium Risk,180000.0,675000.0,21775.5,Cash loans,Secondary / secondary special,Civil marriage,House / apartment,Drivers,2.0,1347750.0,0.0,0.0,7.0,0.5714285714285714,0.42857142857142855,0.0661764705882353,6.777777777777778,21.0,0.07352941176470588
179429,0,0.18104231722743677,0.020695097397817754,Low Risk,225000.0,225000.0,25447.5,Cash loans,Higher education,Married,House / apartment,Laborers,7.0,5008157.28,591997.5,0.0,2.0,0.0,1.0,0.0,0.0,-7.0,0.0
111773,0,0.12684306514262217,0.016035541605861642,Low Risk,90000.0,720000.0,21051.0,Cash loans,Secondary / secondary special,Married,House / apartment,Drivers,10.0,3032559.63,57289.095,0.0,1.0,0.0,1.0,0.0,0.0,-14.0,0.0
261753,0,0.5406535087832576,0.10593633832592318,High Risk,180000.0,392427.0,31005.0,Cash loans,Secondary / secondary special,Married,House / apartment,Laborers,4.0,1158187.5,229014.0,0.0,3.0,0.3333333333333333,0.6666666666666666,0.3448275862068966,16.8,70.0,0.5862068965517241
266559,0,0.37504862024561225,0.050841493186939014,Medium Risk,225000.0,533668.5,22738.5,Cash loans,Higher education,Married,House / apartment,Managers,10.0,7329240.0,3619242.0,0.0,3.0,0.0,0.6666666666666666,0.0,0.0,-3.0,0.0
443433,0,0.27314036668070435,0.0318170090082037,Low Risk,67500.0,207306.0,10714.5,Cash loans,Secondary / secondary special,Married,House / apartment,Sales staff,0.0,0.0,0.0,0.0,11.0,0.09090909090909091,0.7272727272727273,0.10256410256410256,4.375,11.0,0.1794871794871795
413440,0,0.37782667055541685,0.05148804361329339,Medium Risk,247500.0,592560.0,35937.0,Cash loans,Higher education,Married,House / apartment,Sales staff,1.0,337500.0,322492.5,0.0,1.0,0.0,1.0,0.45454545454545453,17.2,38.0,0.6363636363636364
326378,0,0.11855901843822739,0.015420807301302172,Low Risk,112500.0,474048.0,18184.5,Cash loans,Higher education,Married,House / apartment,Core staff,4.0,1206000.0,301567.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154190,0,0.07925203558555349,0.012806190032031579,Low Risk,54000.0,180000.0,9000.0,Revolving loans,Secondary / secondary special,Married,House / apartment,0,7.0,1264473.0,450000.0,0.0,6.0,0.0,0.8333333333333334,0.02040816326530612,6.0,6.0,0.04081632653061224
270238,0,0.07462713102625884,0.012528891644181039,Low Risk,270000.0,450000.0,22500.0,Revolving loans,Higher education,Single / not married,House / apartment,Laborers,5.0,6741405.0,42957.0,0.0,2.0,0.5,0.5,0.0,0.0,-3.0,0.0
249893,0,0.4743078724012719,0.07936505413034245,Medium Risk,135000.0,450000.0,53406.0,Cash loans,Secondary / secondary special,Married,House / apartment,Secretaries,4.0,310095.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-6.0,0.0
117020,0,0.27449814403080375,0.03201813830704645,Low Risk,382500.0,445500.0,48109.5,Cash loans,Higher education,Married,House / apartment,High skill tech staff,10.0,6910618.5,848461.5,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0
306428,0,0.6134617205732475,0.14382349850120488,High Risk,202500.0,204858.0,16218.0,Cash loans,Secondary / secondary special,Married,Rented apartment,Drivers,7.0,2487005.91,781380.0,0.0,1.0,0.0,1.0,0.07142857142857142,4.0,4.0,0.14285714285714285
119882,0,0.10445627358891216,0.014427218109206606,Low Risk,180000.0,220500.0,21937.5,Cash loans,Higher education,Married,House / apartment,0,6.0,1920861.0,226516.5,0.0,4.0,0.0,1.0,0.06666666666666667,3.0,4.0,0.13333333333333333
363647,0,0.4624796584279496,0.07531937948260922,Medium Risk,90000.0,1133748.0,33277.5,Cash loans,Secondary / secondary special,Married,House / apartment,Medicine staff,3.0,1253092.5,627934.5,0.0,4.0,0.0,0.75,0.08,21.5,29.0,0.08
118311,0,0.24040127525796764,0.027321646362046263,Low Risk,90000.0,456273.0,24750.0,Cash loans,Higher education,Married,House / apartment,0,18.0,1662561.0,364531.725,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
152261,0,0.17427970883863572,0.0200481463693099,Low Risk,202500.0,1125000.0,32895.0,Cash loans,Secondary / secondary special,Civil marriage,House / apartment,Medicine staff,2.0,95850.0,0.0,0.0,2.0,0.0,1.0,0.05555555555555555,1.0,1.0,0.0
408541,0,0.4526459214561824,0.07210101625135586,Medium Risk,112500.0,270000.0,13500.0,Revolving loans,Secondary / secondary special,Married,House / apartment,Accountants,5.0,4805174.7,4415328.0,0.0,1.0,0.0,1.0,0.0,0.0,-13.0,0.0
170656,0,0.7217453198453794,0.22015408897142452,Very High Risk,67500.0,227520.0,18103.5,Cash loans,Secondary / secondary special,Married,House / apartment,0,0.0,0.0,0.0,0.0,8.0,0.5,0.375,0.2,12.333333333333334,14.0,0.4
448392,0,0.24018668689061798,0.027294320297721216,Low Risk,54000.0,521280.0,22216.5,Cash loans,Secondary / secondary special,Married,House / apartment,Managers,6.0,1207800.0,153571.5,0.0,5.0,0.0,1.0,0.16923076923076924,11.909090909090908,45.0,0.16923076923076924
370041,0,0.13644309339653313,0.01677812600220102,Low Risk,112500.0,332473.5,12069.0,Cash loans,Secondary / secondary special,Widow,House / apartment,0,3.0,157410.0,0.0,0.0,9.0,0.0,0.8888888888888888,0.10638297872340426,5.1,8.0,0.19148936170212766
281928,1,0.7516124403024959,0.2457177616030935,Very High Risk,180000.0,997335.0,35464.5,Cash loans,Secondary / secondary special,Married,House / apartment,Private service staff,6.0,1885603.5,1670250.51,0.0,3.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0
295467,0,0.19390615834257355,0.0219826087231077,Low Risk,67500.0,246357.0,24129.0,Cash loans,Higher education,Married,House / apartment,0,6.0,760831.335,0.0,0.0,2.0,0.0,1.0,0.14285714285714285,24.5,25.0,0.2857142857142857
414450,1,0.5275640251182487,0.10013812629167188,High Risk,202500.0,348826.5,22423.5,Cash loans,Secondary / secondary special,Civil marriage,House / apartment,Laborers,5.0,1620635.04,1156050.0,0.0,1.0,0.0,1.0,0.0,0.0,-11.0,0.0
356788,0,0.5599193908718104,0.11500806005098445,High Risk,112500.0,450000.0,23107.5,Cash loans,Secondary / secondary special,Married,House / apartment,Sales staff,0.0,0.0,0.0,0.0,10.0,0.1,0.4,0.0,0.0,0.0,0.0
456244,0,0.18598843226657183,0.021181167784896118,Low Risk,261000.0,1303812.0,35982.0,Cash loans,Higher education,Married,House / apartment,0,23.0,7509015.495,611645.355,0.0,18.0,0.05555555555555555,0.6666666666666666,0.08270676691729323,6.545454545454546,17.0,0.12030075187969924
184322,0,0.3185316605941936,0.039248210203815075,Low Risk,270000.0,993082.5,39514.5,Cash loans,Higher education,Married,House / apartment,0,9.0,4832995.5,2888559.0,0.0,13.0,0.5384615384615384,0.23076923076923078,0.0,0.0,0.0,0.0
349385,0,0.2624563020002704,0.030276462267680167,Low Risk,90000.0,273636.0,15408.0,Cash loans,Higher education,Married,House / apartment,Sales staff,16.0,1279817.2349999999,885395.385,0.0,3.0,0.0,1.0,0.04081632653061224,192.0,238.0,0.04081632653061224
447129,1,0.7961938960851662,0.28743883827110606,Very High Risk,135000.0,315000.0,19035.0,Cash loans,Secondary / secondary special,Married,House / apartment,Laborers,12.0,4039920.0,697428.0,0.0,4.0,0.0,1.0,0.3877551020408163,4.631578947368421,21.0,0.5714285714285714
401571,0,0.3468558361387448,0.044701291980184535,Low Risk,67500.0,545040.0,19705.5,Cash loans,Secondary / secondary special,Civil marriage,Municipal apartment,0,1.0,153000.0,149040.0,0.0,4.0,0.0,0.5,0.0,0.0,0.0,0.0
300307,0,0.6667743705906333,0.1782419384027518,High Risk,225000.0,1540305.0,42484.5,Cash loans,Secondary / secondary special,Civil marriage,House / apartment,0,2.0,1755000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319206,0,0.4725841384595719,0.07876334927965754,Medium Risk,112500.0,180000.0,9000.0,Revolving loans,Secondary / secondary special,Single / not married,House / apartment,Core staff,1.0,450000.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-11.0,0.0
351153,0,0.25445913242332996,0.029170878751651197,Low Risk,225000.0,1762110.0,50629.5,Cash loans,Secondary / secondary special,Married,House / apartment,Drivers,4.0,613037.25,0.0,0.0,2.0,0.0,1.0,0.0,0.0,-5.0,0.0
215089,0,0.5899134747635469,0.13047311552313964,High Risk,225000.0,312768.0,13905.0,Cash loans,Higher education,Single / not married,House / apartment,Drivers,8.0,883459.62,0.0,0.0,2.0,0.0,1.0,0.0,0.0,-4.0,0.0
155938,0,0.6447487244092909,0.1632972011176008,High Risk,202500.0,932643.0,33174.0,Cash loans,Secondary / secondary special,Married,House / apartment,Drivers,0.0,0.0,0.0,0.0,5.0,0.2,0.6,0.13043478260869565,1.3333333333333333,2.0,0.08695652173913043
187959,0,0.28228057812767576,0.03319488588639804,Low Risk,225000.0,211500.0,13068.0,Cash loans,Higher education,Single / not married,House / apartment,0,0.0,0.0,0.0,0.0,4.0,0.5,0.5,0.13793103448275862,3.75,7.0,0.20689655172413793
255038,0,0.4413553987252628,0.06856255522204609,Medium Risk,76500.0,247500.0,12375.0,Revolving loans,Secondary / secondary special,Married,House / apartment,0,4.0,217188.0,10980.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0
318285,0,0.75400629038939,0.24785099212327957,Very High Risk,135000.0,327024.0,16033.5,Cash loans,Secondary / secondary special,Single / not married,With parents,Drivers,1.0,13729.5,0.0,0.0,6.0,0.16666666666666666,0.3333333333333333,0.07692307692307693,4.5,5.0,0.15384615384615385
316811,0,0.5088452284575479,0.09233682428076426,Medium Risk,270000.0,312768.0,19030.5,Cash loans,Secondary / secondary special,Married,House / apartment,Managers,3.0,1208102.76,1046632.5,0.0,6.0,0.0,0.8333333333333334,0.17647058823529413,4.518518518518518,14.0,0.20915032679738563
395003,0,0.38317740525678945,0.05275531636007529,Medium Risk,157500.0,426645.0,20655.0,Cash loans,Secondary / secondary special,Married,House / apartment,Sales staff,7.0,707399.235,107105.625,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
328533,0,0.27288075690919367,0.031778692073777225,Low Risk,202500.0,320521.5,25299.0,Cash loans,Higher education,Married,House / apartment,Laborers,3.0,361350.0,0.0,0.0,8.0,0.0,0.75,0.0,0.0,0.0,0.0
178549,0,0.8548703674259651,0.3482919763623184,Very High Risk,157500.0,1006920.0,51543.0,Cash loans,Secondary / secondary special,Married,House / apartment,Cooking staff,11.0,4843880.55,2041620.255,0.0,11.0,0.8181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0
223754,0,0.6518620390993709,0.16801023842918364,High Risk,270000.0,270126.0,13923.0,Cash loans,Secondary / secondary special,Separated,House / apartment,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.13333333333333333,5.3,14.0,0.18666666666666668
372969,0,0.8245002935684929,0.3160137047533564,Very High Risk,225000.0,781920.0,61906.5,Cash loans,Secondary / secondary special,Married,House / apartment,Laborers,5.0,3653656.56,0.0,0.0,14.0,0.14285714285714285,0.35714285714285715,0.05,5.0,9.0,0.05
156496,0,0.30827423257255515,0.03743536909753194,Low Risk,135000.0,679500.0,30703.5,Cash loans,Secondary / secondary special,Married,House / apartment,Sales staff,2.0,191781.27,149575.5,0.0,2.0,0.0,1.0,0.08695652173913043,5.5,7.0,0.17391304347826086
116054,0,0.2235010349591508,0.025249002697945923,Low Risk,121500.0,528633.0,35469.0,Cash loans,Secondary / secondary special,Married,House / apartment,Sales staff,0.0,0.0,0.0,0.0,7.0,0.2857142857142857,0.7142857142857143,0.1320754716981132,3.857142857142857,6.0,0.18867924528301888
270339,0,0.21038856237423986,0.02374718157080958,Low Risk,162000.0,808650.0,23773.5,Cash loans,Secondary / secondary special,Civil marriage,Office apartment,Laborers,2.0,1966500.0,1658560.5,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
250898,0,0.3521376626140736,0.04579515236329458,Low Risk,72000.0,990000.0,28944.0,Cash loans,Lower secondary,Married,House / apartment,Drivers,3.0,382500.0,-180.35999999999999,0.0,2.0,0.0,1.0,0.031914893617021274,11.333333333333334,20.0,0.0425531914893617
233559,0,0.40799135687739374,0.05902626970722022,Medium Risk,225000.0,1113840.0,57001.5,Cash loans,Secondary / secondary special,Civil marriage,House / apartment,Private service staff,7.0,867235.005,192820.5,0.0,4.0,0.0,0.5,0.0,0.0,-1.0,0.0
118970,0,0.13650474765022705,0.01678300270203448,Low Risk,72000.0,675000.0,21906.0,Cash loans,Secondary / secondary special,Widow,House / apartment,0,6.0,173156.66999999998,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-8.0,0.0
293029,0,0.7356155573359207,0.23178249166933299,Very High Risk,112500.0,783927.0,40153.5,Cash loans,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-8.0,0.0
327011,0,0.3393153207725666,0.0431827392749151,Low Risk,135000.0,284400.0,15138.0,Cash loans,Higher education,Married,House / apartment,Private service staff,12.0,1917664.38,316377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100730,0,0.08245026515558504,0.013001482604658807,Low Risk,315000.0,1971072.0,62019.0,Cash loans,Higher education,Married,House / apartment,Accountants,1.0,4500000.0,3933355.5,0.0,4.0,0.0,1.0,0.0,0.0,-1.0,0.0
251241,0,0.4746863649643577,0.07949773599701897,Medium Risk,90000.0,250272.0,16425.0,Cash loans,Secondary / secondary special,Married,House / apartment,Medicine staff,3.0,122935.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-17.0,0.0
282922,0,0.5914558228214378,0.13131427565977305,High Risk,81000.0,900000.0,38263.5,Cash loans,Secondary / secondary special,Married,House / apartment,Laborers,1.0,46980.0,0.0,0.0,1.0,0.0,1.0,0.3103448275862069,2.111111111111111,5.0,0.3448275862068966
155358,0,0.17695540644884244,0.020301716449428953,Low Risk,270000.0,720000.0,30505.5,Cash loans,Higher education,Married,House / apartment,Managers,8.0,8704412.82,3646521.0,0.0,8.0,0.125,0.25,0.0,0.0,0.0,0.0
376757,0,0.6032229145054216,0.13788419517588568,High Risk,180000.0,592560.0,40216.5,Cash loans,Secondary / secondary special,Married,With parents,Medicine staff,5.0,621923.04,75904.965,0.0,5.0,0.0,0.8,0.1518987341772152,21.0,30.0,0.3037974683544304
339784,1,0.7884977811342305,0.27994156215584254,Very High Risk,148500.0,219042.0,23719.5,Cash loans,Secondary / secondary special,Married,House / apartment,Laborers,0.0,0.0,0.0,0.0,7.0,0.14285714285714285,0.42857142857142855,0.041666666666666664,3.0,3.0,0.08333333333333333
437609,1,0.750401117250292,0.24464304408944232,Very High Risk,112500.0,720000.0,36760.5,Cash loans,Higher education,Single / not married,House / apartment,Sales staff,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-7.0,0.0
411375,0,0.31345155387748097,0.038340091973428685,Low Risk,270000.0,1236816.0,36292.5,Cash loans,Secondary / secondary special,Married,House / apartment,Core staff,5.0,2008710.0,24066.0,0.0,8.0,0.0,0.375,0.0,0.0,0.0,0.0
308960,0,0.20306664592690576,0.022946866486554154,Low Risk,103500.0,1017000.0,29866.5,Cash loans,Higher education,Married,House / apartment,Core staff,12.0,3986337.42,1615744.62,0.0,2.0,0.0,1.0,0.0,0.0,-7.0,0.0
248218,0,0.38632130392937625,0.05351360071656751,Medium Risk,360000.0,834048.0,27693.0,Cash loans,Secondary / secondary special,Single / not married,Municipal apartment,Drivers,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
224443,0,0.4299313525381196,0.06514655392485222,Medium Risk,112500.0,450000.0,24412.5,Cash loans,Secondary / secondary special,Married,House / apartment,Security staff,4.0,187609.5,0.0,0.0,2.0,0.0,1.0,0.08333333333333333,7.0,7.0,0.0
390340,0,0.29804704136179805,0.03570814089435406,Low Risk,135000.0,625500.0,26500.5,Cash loans,Higher education,Civil marriage,House / apartment,Core staff,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,-1.0,0.0
